"Filter","All","P1 0.17  ","P1 0.33  ","P1 0.5  ","P1 0.67  ","P1 0.83  "
"All",1,0.30595,0.00264095,0.00524189,0.00380137,0.682366
"PSignal Liab 1 Dam 1",0.0361,0.994451,0.00221976,0.00221976,0.00110988,0
"PSignal Liab 1 Dam 2",0.0379,0.990506,0.00738397,0.00105485,0.00105485,0
"PSignal Liab 1 Dam 3",0.0371,0.992441,0.00431965,0.00215983,0.00107991,0
"PSignal Liab 1 Dam 4",0.0413,0.995155,0.00387597,0,0.000968992,0
"PSignal Liab 1 Dam 5",0.0374,0.988235,0.00855615,0,0.00320856,0
"PSignal Liab 2 Dam 1",0.0411,0.981481,0.00974659,0.00682261,0.00194932,0
"PSignal Liab 2 Dam 2",0.0426,0.981203,0.0056391,0.00845865,0.0037594,0.00093985
"PSignal Liab 2 Dam 3",0.0387,0.917355,0.00619835,0.0165289,0.00516529,0.0547521
"PSignal Liab 2 Dam 4",0.0365,0,0.00328587,0.00219058,0.00876232,0.985761
"PSignal Liab 2 Dam 5",0.034,0.00117786,0.00471143,0.00353357,0.00942285,0.981154
"PSignal Liab 3 Dam 1",0.0454,0.000881834,0.00352734,0.047619,0.00440917,0.943563
"PSignal Liab 3 Dam 2",0.0484,0,0.00247934,0.0256198,0.0107438,0.961157
"PSignal Liab 3 Dam 3",0.0455,0,0.000878735,0.00175747,0.0114236,0.98594
"PSignal Liab 3 Dam 4",0.0484,0,0.000826446,0.000826446,0.00413223,0.994215
"PSignal Liab 3 Dam 5",0.0468,0,0.0017094,0.000854701,0.0017094,0.995726
"PSignal Liab 4 Dam 1",0.033,0,0,0,0.0133495,0.98665
"PSignal Liab 4 Dam 2",0.0359,0,0,0,0.00446429,0.995536
"PSignal Liab 4 Dam 3",0.0384,0,0,0,0.00625652,0.993743
"PSignal Liab 4 Dam 4",0.0447,0,0,0,0,1
"PSignal Liab 4 Dam 5",0.0409,0,0,0,0,1
"PSignal Liab 5 Dam 1",0.0396,0,0,0,0.0010101,0.99899
"PSignal Liab 5 Dam 2",0.0399,0,0.001002,0,0,0.998998
"PSignal Liab 5 Dam 3",0.0376,0,0,0,0.00106496,0.998935
"PSignal Liab 5 Dam 4",0.0374,0,0,0,0,1
"PSignal Liab 5 Dam 5",0.0355,0,0,0,0,1
